group,visual_identification,market_value_note,verification_note
01_Honda_or_Toyota_Hatchback,Visual identification requires confirmation,Verify from image/VIN or listing data,Do not guess exact trim/year
02_Honda_CRV_or_SUV,Visual identification requires confirmation,Verify from image/VIN or listing data,Do not guess exact trim/year
03_Lexus_Toyota_Sedan,Visual identification requires confirmation,Verify from image/VIN or listing data,Do not guess exact trim/year
04_Lexus_RX_or_Similar,Visual identification requires confirmation,Verify from image/VIN or listing data,Do not guess exact trim/year
05_Range_Rover_Velar,Range Rover Velar appears visually likely,Verify current Kenyan listings,Exact year/engine/trim required
06_Toyota_Vellfire_or_Similar,Toyota MPV appears visually likely,Verify current Kenyan listings,Exact year/grade required
07_Volvo_SUV,Volvo SUV appears visually likely,Verify current Kenyan listings,Exact model/year required
08_Volkswagen_Hatchback,Volkswagen hatchback appears visually likely,Verify current Kenyan listings,Exact model/year required
09_Ford_Ranger,Ford Ranger appears visually likely,Verify current Kenyan listings,Exact year/engine/trim required
10_Audi_Sedan,Audi sedan appears visually likely,Verify current Kenyan listings,Exact model/year/engine required
11_Mercedes_C_Class,Mercedes-Benz C-Class appears likely,Verify current Kenyan listings,Exact year/engine/trim required
12_Toyota_Land_Cruiser_200,Toyota Land Cruiser 200 Series/V8 appears likely,KSh 6.5M–16M used benchmark in Kenya,Exact year/grade/mileage required
13_Mercedes_GLE_Coupe,Mercedes-Benz GLE Coupe appears likely,Verify current Kenyan listings,Exact year/engine/trim required
14_Porsche_Cayenne,Porsche Cayenne appears likely,Verify current Kenyan listings,Exact year/engine/trim required
15_Volkswagen_Golf,Volkswagen Golf appears likely,Verify current Kenyan listings,Exact generation/year/engine required
16_Mercedes_E_Class,Mercedes-Benz E-Class appears likely,Verify current Kenyan listings,Exact generation/year/engine required
17_BMW_X6,BMW X6 appears likely,Observed Kenya listings span roughly KSh 2.15M–14.2M depending on year/trim,Exact year/trim/mileage required
18_Toyota_RAV4_older,Toyota RAV4 appears likely,Verify current Kenyan listings,Exact generation/year/engine required
19_Toyota_RAV4_newer,Toyota RAV4 appears likely,Current Kenya listings show newer examples around KSh 4.6M+ landed depending on year/spec,Exact year/grade/mileage required
20_Toyota_Hiace,Toyota Hiace appears likely,Current Kenya listings show newer examples around KSh 5.5M–6.2M duty-not-paid depending on spec,Exact year/engine/drive required
21_Mazda_Demio_Mazda2,Mazda Demio/Mazda2 appears likely,Approx KSh 550K–1.6M depending on year/condition; 2019 examples around KSh 1.3M–1.6M,Exact year/engine/mileage required
22_Nissan_Patrol_Y62,Nissan Patrol Y62 appears likely,Verify current Kenyan listings,Exact year/engine/grade required
23_Mercedes_S_Class,Mercedes-Benz S-Class appears likely,Verify current Kenyan listings,Exact generation/year/engine required
24_Audi_Q8,Audi Q8 appears likely,Verify current Kenyan listings,Exact year/engine/trim required
